Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776102645,10,,Aggregated,4.600000,4.600000,6,350,420,520,800,1200,1900,2000,2100,2100,2100,557,288,6,302.5683063392559,1.8602909985929728,2122.601624985691,3439.1256732495513
1776102646,10,,Aggregated,4.800000,4.800000,6,350,410,520,800,1200,1900,2000,2100,2100,2100,566,297,6,297.80717124395704,1.829042041208595,2122.601624985691,3385.727915194346
1776102647,10,,Aggregated,4.800000,4.800000,6,340,410,520,800,1200,1900,2000,2100,2100,2100,570,301,6,295.7437933580909,1.829042041208595,2122.601624985691,3362.536842105263
1776102648,10,,Aggregated,5.200000,5.200000,5,340,410,500,800,1200,1900,2000,2100,2100,2100,577,308,5,292.19148441260614,1.829042041208595,2122.601624985691,3322.7261698440207
1776102649,10,,Aggregated,5.000000,5.000000,5,340,410,490,790,1200,1900,2000,2100,2100,2100,582,313,5,289.7069463161296,1.829042041208595,2122.601624985691,3294.8762886597938
1776102650,10,,Aggregated,4.900000,4.900000,5,340,410,490,790,1200,1900,2000,2100,2100,2100,586,317,5,287.75245151528213,1.829042041208595,2122.601624985691,3272.938566552901
1776102651,10,,Aggregated,5.100000,5.100000,5,340,400,490,790,1200,1900,2000,2100,2100,2100,591,322,5,285.3459211860393,1.829042041208595,2122.601624985691,3245.9340101522844
1776102652,10,,Aggregated,5.300000,5.300000,5,330,400,470,790,1200,1900,2000,2100,2100,2100,596,327,5,282.9793560621016,1.829042041208595,2122.601624985691,3219.3825503355706
1776102653,10,,Aggregated,5.300000,5.300000,5,330,400,470,790,1200,1900,2000,2100,2100,2100,598,329,5,282.0432417174135,1.829042041208595,2122.601624985691,3208.886287625418
1776102654,10,,Aggregated,5.000000,5.000000,4,330,390,450,780,1100,1800,2000,2100,2100,2100,607,338,4,277.9131639968217,1.829042041208595,2122.601624985691,3162.509060955519
1776102655,10,,Aggregated,5.000000,5.000000,4,330,390,450,780,1100,1800,2000,2100,2100,2100,612,343,4,275.66609668467055,1.829042041208595,2122.601624985691,3137.3333333333335
1776102656,10,,Aggregated,5.000000,5.000000,4,330,390,450,780,1100,1800,2000,2100,2100,2100,614,345,4,274.7819398143799,1.829042041208595,2122.601624985691,3127.3778501628663
1776102657,10,,Aggregated,5.300000,5.300000,4,330,390,450,770,1100,1800,2000,2100,2100,2100,621,352,4,271.72041003218885,1.829042041208595,2122.601624985691,3093.0386473429953
1776102658,10,,Aggregated,5.300000,5.300000,4,330,390,450,770,1100,1800,2000,2100,2100,2100,624,355,4,270.4289897259374,1.829042041208595,2122.601624985691,3078.5576923076924
1776102659,10,,Aggregated,5.000000,5.000000,4,320,390,450,760,1100,1800,2000,2100,2100,2100,633,364,4,266.6245532575384,1.829042041208595,2122.601624985691,3035.9383886255923
1776102660,10,,Aggregated,5.000000,5.000000,4,320,390,450,760,1100,1800,2000,2100,2100,2100,635,366,4,265.79437441583065,1.829042041208595,2122.601624985691,3026.631496062992
1776102661,10,,Aggregated,5.000000,5.000000,4,330,390,450,760,1100,1800,2000,2100,2100,2100,638,367,4,266.7235996003765,1.829042041208595,2122.601624985691,3027.8432601880877
